"hit_index","original_stage","phrase_priority_tier","reader_plaintext","gordon_plaintext","ciphertext","reader_reflector","reader_start_left_to_right","reader_rings_left_to_right","reader_active_pairs","gordon_tier","gordon_literal_state_index","gordon_reflector","gordon_rotors_left_to_right","gordon_start_left_to_right","gordon_rings_left_to_right","gordon_plugboard_pair_count","gordon_plugboard_pairs","verification_ciphertext"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22251536832","B","IV I II","GPS","AVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22263418884","B","IV I II","HPS","BVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22275300936","B","IV I II","IPS","CVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22287182988","B","IV I II","JPS","DVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22299065040","B","IV I II","KPS","EVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22310947092","B","IV I II","LPS","FVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22322829144","B","IV I II","MPS","GVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22334711196","B","IV I II","NPS","HVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22346593248","B","IV I II","OPS","IVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22358475300","B","IV I II","PPS","JVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22370357352","B","IV I II","QPS","KVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22382239404","B","IV I II","RPS","LVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22394121456","B","IV I II","SPS","MVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
"12","stage_a_strict_preferred","4","THEDAYHIDDEATH","TIMEISACONFLUX","BODZOMJTROPMNJ","B","GJM","MMM","PE","2","22406003508","B","IV I II","TPS","NVA","6","BY DN FV HS MX OQ","BODZOMJTROPMNJ"
